Attribute,ApplicablePlace,AthleticShoeType,BackSideMaterial,BodyMaterial,BrandName,Capacity,Category,ClosureType,Collar,Color,DepartmentName,DerivativeSeries,FabricType,Feature,FingerboardMaterial,Fit,Function,Gender,HoseHeight,InsoleMaterial,IsCustomized,ItemType,Length,LensesOpticalAttribute,LevelOfPractice,LiningMaterial,Material,Model,ModelNumber,Name,OuterwearType,OutsoleMaterial,PatternType,ProductType,Season,Size,SleeveLengthCm,SportType,SportsType,StrapType,Style,Technology,Type,TypeOfSports,UpperHeight,UpperMaterial,Voltage,Weight
asin_entity_precision,0.9285714285714286,0.9923857868020305,0.8333333333333334,0.7222222222222222,0.9704329461457233,0.9642857142857143,0.946969696969697,0.875,1.0,0.9215686274509803,0.9247311827956989,0.2631578947368421,0.957983193277311,0.9116719242902208,0.9508196721311475,nan,0.631578947368421,0.9757942511346445,0.8666666666666667,nan,nan,0.9685534591194969,0.8148148148148148,0.7413793103448276,0.9607843137254902,1.0,0.8925318761384335,0.5789473684210527,0.6015801354401806,1.0,1.0,1.0,0.9217687074829932,0.9897959183673469,0.9454545454545454,0.9779411764705882,0.975609756097561,0.9829545454545454,0.9438775510204082,1.0,0.9569377990430622,nan,0.8167701863354038,0.9666666666666667,0.9644670050761421,0.8770053475935828,0.8888888888888888,0.9629629629629629
asin_entity_recall,1.0,1.0,0.46153846153846156,0.2765957446808511,0.956793336803748,0.9230769230769231,0.7309941520467836,0.4375,0.9572649572649573,0.3790322580645161,0.8686868686868687,0.18867924528301888,0.7862068965517242,0.8210227272727273,0.8529411764705882,0.0,0.2553191489361702,0.9787556904400607,0.9420289855072463,0.0,0.0,0.7321711568938193,0.4074074074074074,0.7678571428571429,1.0,0.2564102564102564,0.8812949640287769,0.19298245614035087,0.3655692729766804,0.15555555555555556,0.8775510204081632,0.9607843137254902,0.9249146757679181,0.9797979797979798,0.7878787878787878,0.6584158415841584,0.9090909090909091,0.9860671310956302,0.9635416666666666,0.9361702127659575,0.7326007326007326,0.0,0.699468085106383,0.9206349206349206,0.9895833333333334,0.82,0.96,0.6842105263157895
asin_entity_f1,0.962962962962963,0.9961783439490446,0.594059405940594,0.4,0.963564875491481,0.943231441048035,0.8250825082508251,0.5833333333333334,0.9781659388646288,0.5371428571428571,0.8958333333333334,0.21978021978021978,0.8636363636363638,0.8639760837070255,0.8992248062015503,nan,0.3636363636363636,0.9772727272727273,0.9027777777777778,nan,nan,0.8339350180505415,0.5432098765432098,0.7543859649122806,0.98,0.4081632653061224,0.8868778280542986,0.2894736842105263,0.454778156996587,0.2692307692307693,0.9347826086956522,0.98,0.9233390119250426,0.9847715736040609,0.8595041322314049,0.7869822485207101,0.9411764705882352,0.9845083781220361,0.9536082474226804,0.967032967032967,0.8298755186721992,nan,0.7535816618911175,0.943089430894309,0.9768637532133675,0.8475452196382428,0.923076923076923,0.7999999999999999
fact_entity_precision,0.9285714285714286,0.9702233250620348,0.7894736842105263,0.5652173913043478,0.8849301877708233,0.6390532544378699,0.8100558659217877,0.875,0.9824561403508771,0.7580645161290323,0.8431372549019608,0.14925373134328357,0.9659863945578231,0.8186968838526912,0.8405797101449275,nan,0.4444444444444444,0.9036603965429588,0.6632653061224489,nan,nan,0.9066147859922179,0.8148148148148148,0.5584415584415584,0.9607843137254902,1.0,0.6338939197930142,0.3548387096774194,0.3759662684469431,0.875,1.0,0.9074074074074074,0.7101827676240209,0.856,0.9285714285714286,0.9172413793103448,0.975609756097561,0.9031302876480541,0.42824074074074076,1.0,0.8973214285714286,nan,0.5396669931439765,0.6373626373626373,0.9547738693467337,0.7068965517241379,0.7741935483870968,0.7647058823529411
fact_entity_recall,1.0,1.0,0.46153846153846156,0.2765957446808511,0.956793336803748,0.9230769230769231,0.7512953367875648,0.4375,0.9572649572649573,0.3790322580645161,0.8686868686868687,0.17857142857142858,0.7282051282051282,0.8210227272727273,0.8529411764705882,0.0,0.2553191489361702,0.976380115352925,0.9420289855072463,0.0,0.0,0.7338582677165354,0.4074074074074074,0.7678571428571429,1.0,0.2564102564102564,0.8812949640287769,0.19298245614035087,0.36197564276048716,0.15555555555555556,0.8775510204081632,0.9607843137254902,0.9251700680272109,0.981651376146789,0.7878787878787878,0.6584158415841584,0.9090909090909091,0.9753312014618547,0.9635416666666666,0.9361702127659575,0.7335766423357665,0.0,0.7001270648030495,0.9206349206349206,0.9895833333333334,0.82,0.96,0.6842105263157895
fact_entity_f1,0.962962962962963,0.9848866498740554,0.5825242718446603,0.37142857142857144,0.9194597298649325,0.7552447552447553,0.7795698924731183,0.5833333333333334,0.9696969696969696,0.5053763440860215,0.855721393034826,0.16260162601626013,0.8304093567251462,0.8198581560283688,0.8467153284671534,nan,0.32432432432432434,0.9386138613861386,0.778443113772455,nan,nan,0.8111401218450827,0.5432098765432098,0.6466165413533834,0.98,0.4081632653061224,0.7373965387509407,0.24999999999999994,0.36883833160978974,0.26415094339622647,0.9347826086956522,0.9333333333333333,0.8035450516986705,0.9145299145299145,0.8524590163934426,0.7665706051873199,0.9411764705882352,0.9378431803206677,0.592948717948718,0.967032967032967,0.8072289156626508,nan,0.6095132743362831,0.7532467532467533,0.9718670076726343,0.7592592592592593,0.8571428571428571,0.7222222222222222
asin_token_precision,0.9285714285714286,0.9923857868020305,0.8888888888888888,0.8333333333333334,0.9757127771911299,0.9642857142857143,0.9772727272727273,0.875,1.0,0.9607843137254902,0.9247311827956989,0.6842105263157895,0.957983193277311,0.9148264984227129,0.9508196721311475,nan,0.631578947368421,0.978517397881997,0.8666666666666667,nan,nan,0.9706498951781971,0.8888888888888888,0.7413793103448276,0.9607843137254902,1.0,0.9234972677595629,0.7894736842105263,0.744920993227991,1.0,1.0,1.0,0.9387755102040817,0.9897959183673469,0.9454545454545454,0.9852941176470589,0.975609756097561,0.9835858585858586,0.9438775510204082,1.0,0.9569377990430622,nan,0.8850931677018633,1.0,0.9695431472081218,0.8983957219251337,0.8888888888888888,0.9629629629629629
asin_token_recall,1.0,1.0,0.49230769230769234,0.3191489361702128,0.9619989588755856,0.9230769230769231,0.7543859649122807,0.4375,0.9572649572649573,0.3951612903225806,0.8686868686868687,0.49056603773584906,0.7862068965517242,0.8238636363636364,0.8529411764705882,0.0,0.2553191489361702,0.9814871016691957,0.9420289855072463,0.0,0.0,0.7337559429477021,0.4444444444444444,0.7678571428571429,1.0,0.2564102564102564,0.9118705035971223,0.2631578947368421,0.45267489711934156,0.15555555555555556,0.8775510204081632,0.9607843137254902,0.9419795221843004,0.9797979797979798,0.7878787878787878,0.6633663366336634,0.9090909090909091,0.986700443318556,0.9635416666666666,0.9361702127659575,0.7326007326007326,0.0,0.7579787234042553,0.9523809523809523,0.9947916666666666,0.84,0.96,0.6842105263157895
asin_token_f1,0.962962962962963,0.9961783439490446,0.6336633663366337,0.4615384615384616,0.9688073394495413,0.943231441048035,0.8514851485148516,0.5833333333333334,0.9781659388646288,0.5599999999999999,0.8958333333333334,0.5714285714285714,0.8636363636363638,0.866965620328849,0.8992248062015503,nan,0.3636363636363636,0.98,0.9027777777777778,nan,nan,0.8357400722021661,0.5925925925925926,0.7543859649122806,0.98,0.4081632653061224,0.9176470588235294,0.39473684210526316,0.5631399317406144,0.2692307692307693,0.9347826086956522,0.98,0.940374787052811,0.9847715736040609,0.8595041322314049,0.7928994082840237,0.9411764705882352,0.9851406892190957,0.9536082474226804,0.967032967032967,0.8298755186721992,nan,0.8166189111747851,0.975609756097561,0.9820051413881749,0.8682170542635659,0.923076923076923,0.7999999999999999
fact_token_precision,0.9285714285714286,0.9809760132340778,0.8552631578947368,0.6521739130434783,0.9662975445353875,0.8045928430543814,0.9087523277467413,0.875,0.9868421052631579,0.9112903225806451,0.8627450980392157,0.5410447761194029,0.9659863945578231,0.8319641170915959,0.8454106280193237,nan,0.6543209876543209,0.9146754787324183,0.6760204081632653,nan,nan,0.9452010376134891,0.8888888888888888,0.5714285714285714,0.9607843137254902,1.0,0.8193186718413109,0.5779569892473119,0.5993876116855741,0.875,1.0,1.0,0.7811140121845082,0.928,0.9375,0.9577011494252874,0.975609756097561,0.923716864072194,0.47260802469135804,1.0,0.9300595238095238,nan,0.7439111981717268,0.7564102564102564,0.964824120603015,0.8225574712643678,0.7956989247311829,0.8970588235294118
fact_token_recall,1.0,1.0123614663256606,0.49230769230769234,0.3617021276595745,1.0074613916363004,1.1054131054131053,0.8462867012089811,0.4375,0.9658119658119658,0.4260752688172043,0.9090909090909091,0.4766369047619047,0.7282051282051282,0.8494318181818182,0.8676470588235294,0.0,0.32978723404255317,0.9955026091733041,0.9710144927536232,0.0,0.0,0.7566929133858268,0.4172839506172839,0.7767857142857143,1.0,0.2564102564102564,1.0813249400479616,0.35964912280701755,0.5455189337800976,0.15555555555555556,0.8775510204081632,1.0098039215686274,1.0578231292517006,1.128440366972477,0.803030303030303,0.6952145214521451,0.9090909090909091,1.0132480584741892,1.15625,0.9361702127659575,0.7652068126520681,0.0,0.9258365099534096,1.126984126984127,0.9947916666666666,0.91375,1.02,0.8333333333333333
fact_token_f1,0.962962962962963,0.9964216550097625,0.6249061138651045,0.46532846715328474,0.9864502205528515,0.9313138254334008,0.8764078712510218,0.5833333333333334,0.9762137879398721,0.580661371372994,0.8853118712273641,0.5068026913952609,0.8304093567251462,0.8406072333322592,0.8563845228714801,nan,0.4385426397971439,0.9533789874254955,0.7970998226671755,nan,nan,0.8405070438931773,0.5679479101029196,0.6584673604541155,0.98,0.4081632653061224,0.932262848402528,0.4433881595493185,0.5711859926780678,0.26415094339622647,0.9347826086956522,1.0048780487804878,0.8986500408883393,1.0184517648738356,0.8650707290533188,0.8056161097903243,0.9411764705882352,0.9664132873099094,0.6709645902415917,0.967032967032967,0.8396177856943011,nan,0.8249631295543653,0.905240410588871,0.9795787533556822,0.8657589762261372,0.8939950254648822,0.8640226628895183
